epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58844,0.65613,0.78014,18.0
1,0.0006875,0.41424,0.84018,0.94326,15.4
2,0.001,0.24864,2.16512,0.90638,18.9
3,0.000998883,0.27918,0.75201,0.70496,17.0
4,0.000995539,0.24344,2.03055,0.88511,18.3
5,0.000989981,0.11343,1.60746,0.83404,18.1
6,0.000982235,0.24483,0.36407,0.85106,18.3
7,0.000972335,0.15249,0.52101,0.99574,19.0
8,0.000960325,0.15390,0.26162,0.98723,16.4
9,0.000946259,0.07556,0.31832,0.99149,17.7
10,0.000930201,0.04966,0.53630,0.97447,16.6
11,0.000912221,0.05059,0.18234,0.99149,18.9
12,0.0008924,0.07553,0.29813,1.00000,17.0
13,0.000870826,0.09578,0.00863,1.00000,17.3
14,0.000847596,0.04485,0.15076,0.99858,17.7
15,0.000822814,0.05432,0.25190,1.00000,19.1
16,0.00079659,0.09183,0.21057,0.99716,18.7
17,0.000769041,0.02292,0.13363,1.00000,18.9
18,0.000740291,0.00938,0.06759,1.00000,18.7
19,0.000710467,0.00657,0.16737,1.00000,16.6
20,0.000679704,0.01019,0.07580,1.00000,17.6
21,0.000648138,0.00320,0.05468,1.00000,18.4
22,0.00061591,0.00552,0.05624,1.00000,18.4
23,0.000583165,0.02752,0.02345,1.00000,18.1
24,0.000550048,0.05775,0.25793,0.99858,17.4
25,0.000516707,0.02407,0.03598,1.00000,20.1
26,0.000483293,0.02473,0.02662,1.00000,18.1
27,0.000449952,0.02301,0.21907,1.00000,17.0
