epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58392,0.64325,0.85507,16.0
1,0.0006875,0.42844,1.20378,0.88116,15.9
2,0.001,0.27317,0.83495,0.87101,16.9
3,0.000998883,0.25748,1.17343,0.85362,16.0
4,0.000995539,0.20826,0.56190,0.97246,15.9
5,0.000989981,0.12154,1.09120,0.94928,15.2
6,0.000982235,0.10874,0.52589,0.89710,16.4
7,0.000972335,0.16722,0.55025,0.96087,15.9
8,0.000960325,0.09906,0.55903,0.98406,15.3
9,0.000946259,0.08508,0.16890,1.00000,15.7
10,0.000930201,0.02875,0.31212,0.98841,16.0
11,0.000912221,0.03251,0.46919,0.98696,15.0
12,0.0008924,0.03556,0.11539,0.99710,15.0
13,0.000870826,0.04146,0.12239,0.99710,15.8
14,0.000847596,0.07247,0.12945,1.00000,15.9
15,0.000822814,0.02195,0.06836,0.99855,15.8
16,0.00079659,0.03517,0.19365,0.99710,15.3
17,0.000769041,0.03198,0.17418,0.98986,15.4
18,0.000740291,0.10476,0.16014,0.98261,15.6
19,0.000710467,0.10669,0.30286,0.98406,14.9
20,0.000679704,0.01951,0.17906,0.97826,15.6
21,0.000648138,0.05480,0.16797,0.99130,15.8
22,0.00061591,0.01105,0.10440,0.99130,15.9
23,0.000583165,0.01707,0.19236,0.98406,15.9
24,0.000550048,0.01475,0.19274,0.98696,15.9
