epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.57574,0.74692,0.85652,19.3
1,0.0006875,0.43609,1.11079,0.95507,19.9
2,0.001,0.29873,1.96818,0.95942,17.5
3,0.000998883,0.30317,2.89361,0.97246,19.7
4,0.000995539,0.22861,0.22610,0.94638,18.7
5,0.000989981,0.17365,1.97126,0.98261,18.9
6,0.000982235,0.14307,0.79304,0.96522,17.8
7,0.000972335,0.12484,0.34286,0.93623,17.6
8,0.000960325,0.11449,0.41487,0.96377,18.0
9,0.000946259,0.04526,0.52911,0.96232,17.7
10,0.000930201,0.05397,0.75584,0.95217,17.7
11,0.000912221,0.06571,0.38985,0.94493,15.2
12,0.0008924,0.04781,0.54977,0.94928,18.1
13,0.000870826,0.03621,0.33472,0.94783,17.4
14,0.000847596,0.01285,0.29624,0.94203,26.2
15,0.000822814,0.01657,0.27402,0.98841,26.9
16,0.00079659,0.06375,0.49607,0.99130,28.0
17,0.000769041,0.06557,0.59023,0.99130,21.8
18,0.000740291,0.13327,0.13458,0.97826,24.6
19,0.000710467,0.05030,0.31234,0.98986,22.7
20,0.000679704,0.02237,0.44358,0.98986,19.6
21,0.000648138,0.03943,0.34282,0.98696,16.2
22,0.00061591,0.01340,0.15362,0.98406,16.6
23,0.000583165,0.01949,0.17204,0.99275,16.2
24,0.000550048,0.01447,0.24476,0.99710,15.8
25,0.000516707,0.01918,0.21623,0.97826,17.2
26,0.000483293,0.02519,0.16016,0.98551,17.0
27,0.000449952,0.02943,0.11540,0.99565,16.0
28,0.000416835,0.00678,0.12158,0.99565,16.6
29,0.00038409,0.00374,0.13252,0.99565,16.2
30,0.000351862,0.00797,0.14062,0.99710,16.2
31,0.000320296,0.00703,0.14611,0.99565,16.7
32,0.000289533,0.01799,0.13147,0.99565,16.4
33,0.000259709,0.00825,0.14381,0.99275,16.0
34,0.000230959,0.00166,0.18331,0.99275,17.3
35,0.00020341,0.00449,0.19730,0.99420,16.4
36,0.000177186,0.00268,0.20358,0.99275,16.2
37,0.000152404,0.00453,0.20574,0.99275,16.2
38,0.000129174,0.00231,0.20339,0.99275,15.8
39,0.0001076,0.00291,0.19349,0.99420,15.3
