epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58986,0.66141,0.82270,18.6
1,0.0006875,0.36704,1.14444,0.90780,18.5
2,0.001,0.30294,2.91202,0.88227,17.8
3,0.000998883,0.25986,0.42572,0.92624,17.0
4,0.000995539,0.23438,0.80916,0.93050,18.1
5,0.000989981,0.11904,0.31697,0.95319,18.5
6,0.000982235,0.29675,0.39617,0.91915,18.9
7,0.000972335,0.19764,1.51317,0.99433,17.0
8,0.000960325,0.11707,0.47277,0.98582,17.4
9,0.000946259,0.05821,0.88617,0.96879,16.9
10,0.000930201,0.05266,1.11107,0.97021,17.8
11,0.000912221,0.04617,1.20992,0.95177,18.6
12,0.0008924,0.11050,0.52653,0.98723,19.5
13,0.000870826,0.11413,0.10815,0.99716,16.7
14,0.000847596,0.07143,0.37882,0.98723,20.6
15,0.000822814,0.03997,0.43459,0.99574,18.2
16,0.00079659,0.06994,0.30554,0.99007,16.5
17,0.000769041,0.06704,0.13943,0.98865,18.1
18,0.000740291,0.02631,0.13413,0.99007,16.2
19,0.000710467,0.04027,0.16309,0.99007,18.4
20,0.000679704,0.05860,0.12958,0.98440,16.8
21,0.000648138,0.03365,0.23911,0.99716,15.3
22,0.00061591,0.01297,0.21566,1.00000,16.3
23,0.000583165,0.03963,0.23722,1.00000,16.7
24,0.000550048,0.01230,0.09586,0.99858,17.7
25,0.000516707,0.00474,0.14816,0.99858,17.2
26,0.000483293,0.02693,0.16695,1.00000,18.7
27,0.000449952,0.00581,0.21695,1.00000,20.2
28,0.000416835,0.00858,0.23720,1.00000,17.9
29,0.00038409,0.00677,0.27321,1.00000,17.3
30,0.000351862,0.00509,0.24737,1.00000,17.7
31,0.000320296,0.00758,0.24404,1.00000,16.5
32,0.000289533,0.01306,0.20888,1.00000,15.9
33,0.000259709,0.00074,0.20081,1.00000,13.7
34,0.000230959,0.00659,0.19027,1.00000,18.6
35,0.00020341,0.00066,0.14690,1.00000,18.5
36,0.000177186,0.00089,0.13170,1.00000,17.4
37,0.000152404,0.00424,0.11171,1.00000,15.5
