epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.60670,0.62211,0.82899,33.6
1,0.0006875,0.45479,1.22868,0.91884,36.1
2,0.001,0.36206,0.68535,0.99130,34.9
3,0.000998883,0.22765,0.32799,1.00000,35.1
4,0.000995539,0.13187,0.17854,0.99420,35.3
5,0.000989981,0.14334,0.47141,1.00000,34.9
6,0.000982235,0.17580,0.27681,0.98406,34.4
7,0.000972335,0.12473,0.20833,0.97246,35.0
8,0.000960325,0.04680,0.12378,1.00000,35.0
9,0.000946259,0.03993,0.20683,0.99420,34.8
10,0.000930201,0.03371,0.09634,0.99420,35.9
11,0.000912221,0.11631,0.55628,0.99565,34.7
12,0.0008924,0.06155,0.34967,0.99420,33.6
13,0.000870826,0.03249,0.26714,1.00000,34.6
14,0.000847596,0.04760,0.19921,1.00000,34.6
15,0.000822814,0.03761,0.32752,0.99710,34.2
16,0.00079659,0.01575,0.08480,0.99710,34.4
17,0.000769041,0.02288,0.12484,0.99710,33.0
18,0.000740291,0.08737,0.10366,1.00000,34.0
