epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.54738,0.75990,0.82713,33.5
1,0.0006875,0.46066,2.04494,0.88431,22.4
2,0.001,0.34479,0.87966,0.92819,24.6
3,0.000998883,0.36111,0.30712,0.98936,23.9
4,0.000995539,0.15484,2.16781,1.00000,23.8
5,0.000989981,0.23521,0.70565,1.00000,24.5
6,0.000982235,0.16787,0.42208,1.00000,26.9
7,0.000972335,0.07051,0.76010,0.99734,26.3
8,0.000960325,0.04258,0.29593,0.99468,25.9
9,0.000946259,0.09207,0.85205,0.99335,27.0
10,0.000930201,0.08860,0.45357,0.96941,28.3
11,0.000912221,0.19034,0.16375,0.99601,29.3
12,0.0008924,0.06518,0.38806,0.99867,32.4
13,0.000870826,0.05978,0.14136,1.00000,34.5
14,0.000847596,0.04155,0.11173,1.00000,36.7
15,0.000822814,0.03154,0.00997,1.00000,34.7
16,0.00079659,0.07125,0.11002,0.99601,37.5
17,0.000769041,0.04776,0.04422,0.99867,41.0
18,0.000740291,0.02770,0.06141,0.99867,34.1
19,0.000710467,0.01742,0.04809,0.99867,36.8
