epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.59634,0.64369,0.88369,36.7
1,0.0006875,0.39953,1.43381,0.94184,40.4
2,0.001,0.35649,0.74175,0.88511,38.4
3,0.000998883,0.23244,0.91255,0.94043,36.3
4,0.000995539,0.22233,1.29918,0.95603,35.7
5,0.000989981,0.12180,1.02780,0.96028,35.5
6,0.000982235,0.19925,0.56996,1.00000,35.8
7,0.000972335,0.08853,0.32313,1.00000,34.6
8,0.000960325,0.09845,0.14206,0.99149,34.0
9,0.000946259,0.05115,0.24177,0.99433,33.9
10,0.000930201,0.05672,0.22587,0.99716,34.3
11,0.000912221,0.03153,0.18010,1.00000,34.8
12,0.0008924,0.04226,0.23137,1.00000,36.2
13,0.000870826,0.06195,0.16993,1.00000,34.7
14,0.000847596,0.05295,0.30150,1.00000,34.6
15,0.000822814,0.10798,0.10841,1.00000,33.1
16,0.00079659,0.04945,0.24594,0.99858,35.1
17,0.000769041,0.03885,0.17356,1.00000,35.3
18,0.000740291,0.01361,0.02984,1.00000,36.0
19,0.000710467,0.02852,0.11723,1.00000,36.0
20,0.000679704,0.02869,0.10411,1.00000,36.0
21,0.000648138,0.01037,0.05177,1.00000,36.8
