epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.60074,0.61480,0.87801,36.1
1,0.0006875,0.44171,1.22156,0.83688,36.0
2,0.001,0.32047,1.05434,0.87234,36.2
3,0.000998883,0.21667,1.24299,0.84397,35.5
4,0.000995539,0.18869,0.35049,0.91206,35.9
5,0.000989981,0.10579,0.40524,0.86809,34.3
6,0.000982235,0.16643,0.49299,0.81986,35.0
7,0.000972335,0.11800,1.00992,0.97447,33.9
8,0.000960325,0.16997,0.70898,0.98156,37.2
9,0.000946259,0.11548,0.99208,0.99433,34.1
10,0.000930201,0.05543,0.18789,0.99858,35.0
11,0.000912221,0.02720,0.54404,0.99574,34.8
12,0.0008924,0.01968,0.29487,1.00000,35.9
13,0.000870826,0.01639,0.02419,1.00000,36.3
14,0.000847596,0.02301,0.00295,1.00000,38.2
15,0.000822814,0.03281,0.00122,1.00000,35.9
16,0.00079659,0.05984,0.18439,1.00000,34.7
17,0.000769041,0.05637,0.00040,1.00000,34.5
18,0.000740291,0.01704,0.08130,0.99716,34.5
19,0.000710467,0.03200,0.00959,1.00000,32.8
20,0.000679704,0.01261,0.14119,1.00000,35.8
21,0.000648138,0.01392,0.02949,1.00000,33.9
22,0.00061591,0.00416,0.02222,1.00000,33.8
23,0.000583165,0.01768,0.04221,1.00000,34.6
24,0.000550048,0.01564,0.07320,0.99716,34.8
25,0.000516707,0.01383,0.09525,1.00000,35.8
26,0.000483293,0.00530,0.05451,1.00000,33.5
27,0.000449952,0.02664,0.05889,1.00000,33.2
