epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.60229,0.67771,0.77971,34.7
1,0.0006875,0.45723,1.50033,0.85652,35.0
2,0.001,0.33638,0.58992,0.95942,35.1
3,0.000998883,0.20310,0.85900,0.93623,34.9
4,0.000995539,0.23458,1.24293,0.99130,35.1
5,0.000989981,0.17399,2.14729,0.92609,34.5
6,0.000982235,0.14181,0.70588,0.98406,34.7
7,0.000972335,0.14407,0.87300,0.88551,32.6
8,0.000960325,0.12897,1.48741,0.91884,34.1
9,0.000946259,0.09045,0.69549,0.92029,34.7
10,0.000930201,0.02028,0.72280,0.96232,33.9
11,0.000912221,0.03921,0.92478,0.93333,34.6
12,0.0008924,0.03499,0.81362,0.96522,33.2
13,0.000870826,0.10442,1.58902,0.94638,33.7
14,0.000847596,0.05252,0.18022,0.98261,35.5
15,0.000822814,0.05844,0.49417,0.99855,35.2
16,0.00079659,0.06481,0.35097,0.99275,36.2
17,0.000769041,0.05040,0.41888,0.99420,36.9
18,0.000740291,0.06345,0.53979,0.98261,37.5
19,0.000710467,0.02902,0.50678,0.97826,38.0
20,0.000679704,0.01631,0.49477,0.96957,37.2
21,0.000648138,0.01990,0.37187,0.96377,34.9
22,0.00061591,0.01195,0.24162,0.98986,34.0
23,0.000583165,0.00646,0.25580,0.99710,35.3
24,0.000550048,0.01616,0.23745,0.99710,34.8
25,0.000516707,0.00650,0.34144,0.98116,41.5
26,0.000483293,0.00806,0.42419,0.98261,41.7
27,0.000449952,0.00764,0.27263,0.99130,36.7
28,0.000416835,0.00535,0.22674,0.99420,34.9
29,0.00038409,0.00317,0.26778,0.98841,35.6
30,0.000351862,0.00383,0.26509,0.98986,34.6
