epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.55813,0.82754,0.81516,28.5
1,0.0006875,0.54124,0.92071,0.90293,32.7
2,0.001,0.44233,0.94018,0.95745,30.9
3,0.000998883,0.36777,0.47744,0.94681,32.5
4,0.000995539,0.29199,2.31020,0.86702,39.7
5,0.000989981,0.32046,0.22680,0.98271,33.6
6,0.000982235,0.22937,0.29510,0.99069,33.1
7,0.000972335,0.21584,0.19477,0.96809,33.1
8,0.000960325,0.21312,0.07966,0.99734,34.7
9,0.000946259,0.20853,0.33569,0.94814,33.2
10,0.000930201,0.13600,0.14191,0.99734,34.3
11,0.000912221,0.20722,0.17315,0.98670,33.0
12,0.0008924,0.16209,0.19871,0.99867,30.7
13,0.000870826,0.19115,0.12732,0.97606,33.9
14,0.000847596,0.13170,0.08303,1.00000,32.3
15,0.000822814,0.12416,0.12227,0.99202,31.9
16,0.00079659,0.10454,0.12026,0.99601,32.2
17,0.000769041,0.15393,0.15894,0.99335,31.6
18,0.000740291,0.13814,0.07359,0.99601,31.5
19,0.000710467,0.07689,0.13803,0.99601,32.7
20,0.000679704,0.06874,0.12189,0.99734,31.3
21,0.000648138,0.10936,0.26425,0.99867,31.4
22,0.00061591,0.11252,0.43994,0.98404,33.7
23,0.000583165,0.10146,0.08491,0.99468,34.4
24,0.000550048,0.04940,0.12770,0.99335,29.9
25,0.000516707,0.05304,0.15234,0.99335,31.2
26,0.000483293,0.05952,0.04203,0.99867,31.9
27,0.000449952,0.05212,0.07438,0.99734,33.5
28,0.000416835,0.04414,0.01803,1.00000,31.7
29,0.00038409,0.06896,0.03129,1.00000,32.7
