epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58360,0.72473,0.88227,37.9
1,0.0006875,0.47966,0.47463,0.97021,41.2
2,0.001,0.40082,0.26323,0.95319,56.4
3,0.000998883,0.36034,1.15141,0.92766,40.7
4,0.000995539,0.34947,0.23945,0.98298,39.1
5,0.000989981,0.25936,0.32737,0.99433,36.8
6,0.000982235,0.35341,0.16627,0.99007,37.1
7,0.000972335,0.22181,0.31742,0.97305,35.5
8,0.000960325,0.14081,0.41552,0.97021,35.7
9,0.000946259,0.21081,0.31596,0.96454,37.1
10,0.000930201,0.20523,0.18435,0.97447,36.5
11,0.000912221,0.15523,0.16132,0.99433,37.7
12,0.0008924,0.15064,0.18793,0.98440,36.4
13,0.000870826,0.13739,0.41673,0.97021,36.3
14,0.000847596,0.12993,0.26461,0.98440,38.0
15,0.000822814,0.11581,0.14571,0.99149,38.7
16,0.00079659,0.17472,0.11587,0.98865,36.8
17,0.000769041,0.16347,0.24051,0.99716,37.9
18,0.000740291,0.07303,0.14905,0.99574,36.4
19,0.000710467,0.10336,0.07241,0.99858,37.1
20,0.000679704,0.09801,0.11064,0.99433,36.3
21,0.000648138,0.09662,0.14073,0.99858,27.2
22,0.00061591,0.07910,0.13013,0.98440,28.6
23,0.000583165,0.05877,0.18096,0.97730,25.7
24,0.000550048,0.05424,0.08292,0.99574,25.9
25,0.000516707,0.08006,0.06159,1.00000,29.1
26,0.000483293,0.08024,0.05027,0.99858,28.8
27,0.000449952,0.06405,0.10667,0.99716,27.3
28,0.000416835,0.06322,0.13094,0.99858,26.5
29,0.00038409,0.03785,0.16827,1.00000,27.0
30,0.000351862,0.03948,0.15391,1.00000,28.5
31,0.000320296,0.06689,0.07271,1.00000,28.0
32,0.000289533,0.03827,0.05886,0.99858,32.7
33,0.000259709,0.03240,0.07248,0.99716,46.8
34,0.000230959,0.04705,0.06676,0.99858,38.9
35,0.00020341,0.03128,0.04108,1.00000,38.1
36,0.000177186,0.04991,0.04810,1.00000,38.5
37,0.000152404,0.02182,0.04474,1.00000,40.0
38,0.000129174,0.03562,0.04818,1.00000,33.9
39,0.0001076,0.03465,0.05236,1.00000,31.9
40,8.77792e-05,0.01708,0.06904,0.99716,33.3
