epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.59162,0.61684,0.69565,39.0
1,0.0006875,0.48764,1.04969,0.95072,43.9
2,0.001,0.39643,0.41125,0.93333,38.7
3,0.000998883,0.32515,1.04872,0.96812,33.1
4,0.000995539,0.33849,0.28781,0.92319,33.4
5,0.000989981,0.36784,0.21983,0.93913,32.5
6,0.000982235,0.26124,0.52207,0.96522,30.8
7,0.000972335,0.18843,0.30681,0.96522,34.7
8,0.000960325,0.19888,0.22800,0.96957,42.6
9,0.000946259,0.20534,0.43622,0.92754,39.3
10,0.000930201,0.15657,0.31000,0.94203,37.7
11,0.000912221,0.17676,0.50957,0.96957,35.3
12,0.0008924,0.15788,0.09927,0.99275,40.3
13,0.000870826,0.11085,0.06456,1.00000,51.7
14,0.000847596,0.19492,0.22508,0.99420,52.4
15,0.000822814,0.11163,0.16772,1.00000,42.4
16,0.00079659,0.10394,0.17415,1.00000,38.0
17,0.000769041,0.11147,0.61132,0.95362,44.3
18,0.000740291,0.13444,0.38131,0.94783,44.0
19,0.000710467,0.07877,0.26317,0.93478,37.6
20,0.000679704,0.03970,0.30961,0.93333,38.8
21,0.000648138,0.12926,0.23981,0.94348,33.9
22,0.00061591,0.07725,0.01716,1.00000,33.4
23,0.000583165,0.05332,0.06288,0.99855,32.8
24,0.000550048,0.10106,0.18594,0.99710,33.0
25,0.000516707,0.05775,0.15746,0.97391,32.9
26,0.000483293,0.08861,0.14995,0.96232,33.0
27,0.000449952,0.05611,0.21667,0.97391,33.3
28,0.000416835,0.05634,0.34240,0.97536,33.7
