epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.61313,0.53485,0.75887,34.6
1,0.0006875,0.45476,0.67098,0.92199,32.3
2,0.001,0.40747,0.77464,0.97730,32.7
3,0.000998883,0.43772,0.54251,0.89362,31.5
4,0.000995539,0.32877,0.63457,0.96170,32.2
5,0.000989981,0.24620,0.28900,0.99149,33.1
6,0.000982235,0.27792,0.47661,0.99149,33.0
7,0.000972335,0.19953,0.31566,0.99574,37.0
8,0.000960325,0.29515,0.10695,0.99007,37.9
9,0.000946259,0.20284,0.36461,0.99149,51.1
10,0.000930201,0.16959,0.38009,0.99858,45.1
11,0.000912221,0.15361,1.29900,0.98156,45.4
12,0.0008924,0.13804,0.39685,0.99574,43.6
13,0.000870826,0.14771,0.11525,1.00000,50.7
