epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.61593,0.57088,0.83121,75.9
1,0.0006875,0.46939,0.82631,0.84681,75.7
2,0.001,0.34207,0.47820,0.94468,75.9
3,0.000998883,0.42599,0.35083,0.96596,76.7
4,0.000995539,0.27914,0.95853,0.91064,80.9
5,0.000989981,0.15730,0.32645,0.91915,79.4
6,0.000982235,0.17178,0.34777,0.96028,75.7
7,0.000972335,0.15428,0.21910,0.96738,77.2
8,0.000960325,0.10969,0.20785,0.94894,77.7
9,0.000946259,0.09045,0.24241,0.99007,78.9
10,0.000930201,0.11493,0.24333,0.98014,77.0
11,0.000912221,0.07077,0.48344,0.97163,77.7
12,0.0008924,0.03012,0.39431,0.95745,78.0
13,0.000870826,0.05334,0.47852,0.99291,77.9
14,0.000847596,0.06116,0.18579,0.97021,80.0
15,0.000822814,0.08973,0.13031,0.99149,77.3
16,0.00079659,0.08493,0.15747,0.98723,77.6
17,0.000769041,0.14614,0.15572,0.98156,77.0
18,0.000740291,0.03209,0.15773,0.98014,76.8
19,0.000710467,0.02795,0.30877,0.97447,76.1
20,0.000679704,0.02228,0.20538,0.98440,78.4
21,0.000648138,0.01088,0.03363,1.00000,76.5
22,0.00061591,0.01869,0.06962,0.99716,75.6
23,0.000583165,0.02059,0.10850,0.99858,79.9
24,0.000550048,0.01227,0.06422,1.00000,77.0
25,0.000516707,0.00183,0.21271,0.99574,78.4
26,0.000483293,0.04498,0.20396,0.99858,79.7
27,0.000449952,0.02434,0.18733,0.98156,81.4
28,0.000416835,0.03366,0.19499,0.97447,78.7
29,0.00038409,0.00772,0.14557,0.97872,78.1
30,0.000351862,0.00485,0.13683,0.98865,76.5
31,0.000320296,0.00281,0.14266,0.99574,74.6
32,0.000289533,0.00184,0.15214,0.99716,76.4
33,0.000259709,0.00130,0.15109,0.99716,76.5
34,0.000230959,0.02055,0.12912,0.99716,76.9
35,0.00020341,0.00872,0.10094,0.99858,77.6
36,0.000177186,0.00466,0.10133,0.99858,77.8
