epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.62091,0.59763,0.78116,78.2
1,0.0006875,0.49472,1.14632,0.88696,80.7
2,0.001,0.37022,1.93201,0.79855,78.1
3,0.000998883,0.29262,1.48396,0.91159,77.6
4,0.000995539,0.19488,0.85205,0.94493,80.6
5,0.000989981,0.20005,2.21590,0.93333,76.6
6,0.000982235,0.13011,2.20429,0.92464,78.6
7,0.000972335,0.16893,6.98615,0.94783,77.3
8,0.000960325,0.09499,4.06332,0.92899,78.4
9,0.000946259,0.06713,0.19125,0.99710,78.1
10,0.000930201,0.07186,1.62072,0.95652,76.6
11,0.000912221,0.05802,2.37790,0.92174,75.7
12,0.0008924,0.04957,0.92464,0.97101,75.7
13,0.000870826,0.02233,1.02789,0.95362,76.7
14,0.000847596,0.06941,0.49605,0.94638,79.8
15,0.000822814,0.12357,0.57400,0.93188,80.5
16,0.00079659,0.05571,0.26917,0.97681,78.2
17,0.000769041,0.02301,0.30166,0.96667,77.0
18,0.000740291,0.02667,0.24416,0.98986,78.7
19,0.000710467,0.01351,1.03460,0.97536,76.0
20,0.000679704,0.02258,0.53388,0.96522,76.8
21,0.000648138,0.03995,0.62265,0.94058,75.1
22,0.00061591,0.03417,0.44355,0.94928,75.6
23,0.000583165,0.01019,0.78990,0.90435,76.9
24,0.000550048,0.01030,0.81342,0.91304,76.9
