epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.56622,0.65462,0.80186,75.8
1,0.0006875,0.53799,1.37648,0.88298,82.6
2,0.001,0.37099,0.73352,0.96277,77.1
3,0.000998883,0.25203,0.41717,0.97207,75.0
4,0.000995539,0.20995,0.14154,0.96543,78.4
5,0.000989981,0.20283,0.42812,0.96410,76.4
6,0.000982235,0.15931,1.04972,0.99335,77.3
7,0.000972335,0.12791,0.80584,1.00000,78.2
8,0.000960325,0.09541,0.75680,0.99867,77.0
9,0.000946259,0.11117,0.33593,0.98404,76.9
10,0.000930201,0.10536,0.10651,0.98537,78.9
11,0.000912221,0.07504,0.06780,0.99734,77.0
12,0.0008924,0.03563,0.10633,0.99734,75.1
13,0.000870826,0.03216,0.21496,0.97207,74.1
14,0.000847596,0.05340,0.14466,0.97872,74.9
15,0.000822814,0.05875,0.36650,0.99734,73.7
16,0.00079659,0.05265,0.97276,0.99734,76.3
17,0.000769041,0.05446,0.55789,0.99202,77.4
18,0.000740291,0.06711,0.47773,0.99867,78.0
19,0.000710467,0.04327,0.15920,0.99867,77.3
20,0.000679704,0.04784,0.02584,1.00000,76.8
21,0.000648138,0.03007,0.06953,1.00000,76.1
22,0.00061591,0.02852,0.24659,1.00000,77.3
