epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.62422,0.57858,0.81739,80.2
1,0.0006875,0.49611,0.96055,0.90000,77.4
2,0.001,0.38392,0.44281,0.88551,78.4
3,0.000998883,0.29481,0.13538,0.99130,76.6
4,0.000995539,0.21060,0.59219,0.99855,77.3
5,0.000989981,0.18511,0.08768,0.99855,77.4
6,0.000982235,0.14639,0.12811,1.00000,77.7
7,0.000972335,0.16463,0.23928,1.00000,77.7
8,0.000960325,0.14223,0.40232,1.00000,77.6
9,0.000946259,0.07995,0.05714,1.00000,76.9
10,0.000930201,0.05840,0.02981,0.99855,77.6
11,0.000912221,0.06039,0.17544,0.99565,77.8
12,0.0008924,0.04890,0.21341,0.99855,76.4
13,0.000870826,0.08607,0.53273,1.00000,80.1
14,0.000847596,0.04672,0.05735,0.99565,78.7
15,0.000822814,0.07851,0.12093,1.00000,77.9
16,0.00079659,0.04339,0.24703,1.00000,78.3
17,0.000769041,0.04384,0.06461,1.00000,77.1
18,0.000740291,0.02228,0.05821,1.00000,79.2
19,0.000710467,0.02845,0.13029,1.00000,77.4
20,0.000679704,0.02026,0.18154,1.00000,77.6
21,0.000648138,0.03724,0.02971,1.00000,78.4
