epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.61937,0.54723,0.78261,17.0
1,0.0006875,0.50883,0.76108,0.83623,15.4
2,0.001,0.42287,0.65600,0.80870,16.3
3,0.000998883,0.37540,0.73732,0.88261,22.1
4,0.000995539,0.36350,1.30316,0.90725,17.6
5,0.000989981,0.27057,1.15226,0.91159,15.7
6,0.000982235,0.37606,0.23176,0.93623,15.7
7,0.000972335,0.30498,0.20109,0.96812,17.4
8,0.000960325,0.20950,0.18232,0.96087,16.2
9,0.000946259,0.11633,0.24591,0.94928,15.0
10,0.000930201,0.28871,0.40855,0.97971,15.2
11,0.000912221,0.18999,0.24142,0.97101,14.3
12,0.0008924,0.16375,0.22918,0.95507,14.0
13,0.000870826,0.10777,0.34228,0.93043,14.5
14,0.000847596,0.08842,0.27520,0.91159,16.2
15,0.000822814,0.15642,0.29511,0.97826,14.7
16,0.00079659,0.15095,0.17652,0.98696,13.9
17,0.000769041,0.12500,0.16744,0.99710,14.4
18,0.000740291,0.17777,0.10342,0.99130,14.2
19,0.000710467,0.06983,0.40589,0.96232,15.4
20,0.000679704,0.06720,0.54391,0.97101,15.0
21,0.000648138,0.10208,0.36120,0.98986,15.7
22,0.00061591,0.04335,0.20843,0.99130,16.2
23,0.000583165,0.07536,0.27962,0.98696,15.1
24,0.000550048,0.06998,0.21120,0.99275,13.8
25,0.000516707,0.06909,0.33267,0.96957,14.8
26,0.000483293,0.06788,0.32054,0.96812,16.1
27,0.000449952,0.07446,0.34036,0.97536,15.9
28,0.000416835,0.04672,0.32066,0.97971,15.9
29,0.00038409,0.04007,0.31527,0.97971,17.3
30,0.000351862,0.04984,0.31238,0.99420,14.7
31,0.000320296,0.06092,0.25728,0.99565,13.1
32,0.000289533,0.06639,0.07479,0.99710,13.8
