epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.60588,0.61868,0.70290,14.9
1,0.0006875,0.50097,0.65755,0.87391,14.2
2,0.001,0.45927,1.02801,0.92754,15.0
3,0.000998883,0.43321,0.48806,0.97681,13.5
4,0.000995539,0.40040,0.78524,0.96377,12.9
5,0.000989981,0.32814,0.86049,0.94493,14.0
6,0.000982235,0.28265,0.47266,0.90870,15.8
7,0.000972335,0.30137,0.28235,0.94493,15.1
8,0.000960325,0.20661,0.51505,0.95942,14.2
9,0.000946259,0.18879,0.21248,0.94783,13.9
10,0.000930201,0.19259,0.27764,0.97101,14.8
11,0.000912221,0.22326,0.44281,0.98841,15.3
12,0.0008924,0.14769,0.18468,0.98406,15.0
13,0.000870826,0.13577,0.24786,0.93768,14.0
14,0.000847596,0.15597,0.19374,0.96087,13.5
15,0.000822814,0.14623,0.25114,0.94058,14.2
16,0.00079659,0.14928,0.21022,0.97971,15.0
17,0.000769041,0.11108,0.30658,0.97101,15.6
18,0.000740291,0.17171,0.15962,0.96377,17.7
19,0.000710467,0.10144,0.18448,0.94493,15.3
20,0.000679704,0.10819,0.22596,0.97246,15.3
21,0.000648138,0.10306,0.25029,0.93043,18.9
22,0.00061591,0.12843,0.33515,0.92754,18.6
23,0.000583165,0.16501,0.25975,0.87971,20.6
24,0.000550048,0.12582,0.28748,0.88841,19.7
25,0.000516707,0.06810,0.27506,0.91159,15.3
26,0.000483293,0.09002,0.16838,0.94928,13.3
