epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.61038,0.57691,0.76028,15.4
1,0.0006875,0.49449,0.47745,0.92340,22.1
2,0.001,0.44669,0.67551,0.95177,25.0
3,0.000998883,0.39457,0.33323,0.95177,16.9
4,0.000995539,0.36660,0.44550,0.93617,23.2
5,0.000989981,0.26348,0.21010,0.96170,16.4
6,0.000982235,0.35056,0.26362,0.95745,18.4
7,0.000972335,0.33601,0.18410,0.98298,15.6
8,0.000960325,0.25589,0.16488,0.98156,14.8
9,0.000946259,0.22209,0.25813,0.93333,13.5
10,0.000930201,0.17645,0.45004,0.98440,12.8
11,0.000912221,0.12966,0.39093,0.94894,13.1
12,0.0008924,0.13534,0.64140,0.97730,13.2
13,0.000870826,0.28436,0.25310,0.96312,14.4
14,0.000847596,0.12729,0.19432,0.98723,14.6
15,0.000822814,0.12370,0.23299,0.99149,14.7
16,0.00079659,0.19741,0.12066,0.99433,14.6
17,0.000769041,0.14275,0.11921,0.99574,13.3
18,0.000740291,0.04912,0.12180,0.99291,14.4
19,0.000710467,0.12295,0.13362,0.99291,15.7
20,0.000679704,0.10991,0.09894,0.98723,14.3
21,0.000648138,0.10954,0.05299,0.99574,14.3
22,0.00061591,0.05507,0.05770,0.99858,13.7
23,0.000583165,0.12021,0.08047,0.99291,14.0
24,0.000550048,0.10324,0.05570,0.99574,14.4
25,0.000516707,0.05533,0.08057,0.99716,14.6
26,0.000483293,0.08798,0.06494,0.99574,12.8
27,0.000449952,0.02475,0.07958,0.99716,13.3
28,0.000416835,0.03004,0.07886,0.99716,15.1
29,0.00038409,0.05575,0.06095,1.00000,14.2
30,0.000351862,0.07214,0.06402,0.99716,14.4
31,0.000320296,0.09561,0.07506,0.99716,14.5
32,0.000289533,0.05070,0.07633,0.99574,14.5
33,0.000259709,0.04483,0.07354,0.99574,13.5
34,0.000230959,0.04401,0.06908,0.99716,13.2
35,0.00020341,0.06062,0.06332,0.99574,13.5
36,0.000177186,0.03576,0.08184,0.99574,14.9
37,0.000152404,0.03976,0.08730,0.99716,14.5
38,0.000129174,0.04372,0.08648,0.99858,14.2
39,0.0001076,0.02714,0.08896,0.99858,13.6
40,8.77792e-05,0.02198,0.09259,0.99858,12.8
41,6.97992e-05,0.02775,0.09192,0.99716,12.2
42,5.37406e-05,0.03940,0.08800,0.99716,12.7
43,3.96751e-05,0.01778,0.08689,0.99716,12.7
44,2.76655e-05,0.05113,0.08712,0.99716,12.9
