epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.56003,0.73913,0.87234,16.0
1,0.0006875,0.56974,0.67450,0.94016,12.5
2,0.001,0.37947,0.38091,0.90293,14.2
3,0.000998883,0.45123,0.90556,0.85904,14.6
4,0.000995539,0.33792,0.56165,0.96809,13.6
5,0.000989981,0.32681,1.06912,0.98936,15.2
6,0.000982235,0.29709,0.64370,1.00000,21.3
7,0.000972335,0.22306,0.73416,1.00000,25.2
8,0.000960325,0.16061,0.06821,1.00000,17.4
9,0.000946259,0.24772,0.46191,0.92553,17.2
10,0.000930201,0.19251,0.11994,0.99335,16.9
11,0.000912221,0.26867,0.10896,0.98005,18.1
12,0.0008924,0.24492,0.32797,0.98537,17.6
13,0.000870826,0.15211,0.21377,1.00000,21.5
14,0.000847596,0.16822,0.10079,1.00000,23.6
15,0.000822814,0.13266,0.05144,0.99734,16.8
16,0.00079659,0.15721,0.28118,0.97606,21.1
17,0.000769041,0.20564,0.10079,1.00000,23.7
18,0.000740291,0.11557,0.08130,0.98936,16.8
19,0.000710467,0.11229,0.15418,0.98670,17.8
20,0.000679704,0.12614,0.17302,0.98138,26.6
21,0.000648138,0.08599,0.23842,0.99202,20.7
