epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58104,0.61530,0.85674,26.2
1,0.0006875,0.36469,1.06607,0.98298,28.5
2,0.001,0.27588,0.36715,0.89362,26.6
3,0.000998883,0.29803,0.29896,0.89362,26.2
4,0.000995539,0.25921,0.30543,0.88085,24.5
5,0.000989981,0.09474,0.37324,0.91348,24.0
6,0.000982235,0.19899,0.14900,0.98014,24.6
7,0.000972335,0.12377,0.44870,0.98582,26.6
8,0.000960325,0.12324,0.65423,0.96170,24.5
9,0.000946259,0.08044,0.46176,0.97872,24.1
10,0.000930201,0.02568,0.75911,0.98440,31.0
11,0.000912221,0.03046,0.32212,0.97163,30.5
12,0.0008924,0.06019,0.72418,0.96879,26.4
13,0.000870826,0.14758,0.16441,0.98582,28.2
14,0.000847596,0.06474,0.28242,0.99291,32.4
15,0.000822814,0.04684,0.31056,0.98865,30.6
16,0.00079659,0.03184,0.71568,0.99574,25.4
17,0.000769041,0.02258,0.41360,0.99149,26.2
18,0.000740291,0.02728,0.41620,0.99433,24.4
19,0.000710467,0.01448,0.32344,0.99716,22.5
20,0.000679704,0.01219,0.42912,1.00000,23.8
21,0.000648138,0.03830,0.18716,0.99291,24.1
22,0.00061591,0.01114,0.24275,0.99433,25.5
23,0.000583165,0.11693,0.10460,0.99858,25.2
24,0.000550048,0.06840,0.24285,0.99574,25.3
25,0.000516707,0.04677,0.24510,0.99858,23.0
26,0.000483293,0.01756,0.14748,0.99858,25.9
27,0.000449952,0.00497,0.16396,1.00000,25.3
28,0.000416835,0.01901,0.19793,1.00000,25.9
29,0.00038409,0.00199,0.24351,0.99858,24.9
30,0.000351862,0.00757,0.24315,0.99858,22.8
31,0.000320296,0.03060,0.22625,0.99858,23.2
32,0.000289533,0.00437,0.24921,0.99858,24.8
33,0.000259709,0.00825,0.22907,1.00000,25.6
34,0.000230959,0.00557,0.18565,1.00000,23.0
35,0.00020341,0.00742,0.17982,1.00000,23.3
