epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58193,0.62666,0.84783,27.8
1,0.0006875,0.39552,1.22627,0.96667,26.1
2,0.001,0.28751,0.28938,0.97971,27.1
3,0.000998883,0.26429,0.41195,0.93333,26.0
4,0.000995539,0.19421,0.55326,0.95362,26.5
5,0.000989981,0.18140,0.35780,0.91739,25.4
6,0.000982235,0.20316,0.28173,0.92899,25.3
7,0.000972335,0.12404,1.07450,0.96957,26.5
8,0.000960325,0.06081,2.13037,0.96377,27.4
9,0.000946259,0.04624,1.02143,0.96522,26.2
10,0.000930201,0.05155,2.55590,0.99130,25.4
11,0.000912221,0.12186,0.77535,0.96812,25.8
12,0.0008924,0.12074,0.14543,0.97536,23.3
13,0.000870826,0.08856,0.25708,0.97971,25.7
14,0.000847596,0.04053,0.37532,0.98696,27.5
15,0.000822814,0.03030,0.29705,0.97826,26.1
16,0.00079659,0.03783,0.19260,0.99565,26.1
17,0.000769041,0.06017,0.63609,0.96667,25.6
18,0.000740291,0.07499,0.22250,0.98841,26.1
19,0.000710467,0.08206,0.32221,0.97246,25.4
20,0.000679704,0.04827,0.18346,0.99420,29.5
21,0.000648138,0.04962,0.16787,0.99420,26.2
22,0.00061591,0.03407,0.13068,0.99130,26.1
23,0.000583165,0.01342,0.14031,0.99130,24.5
24,0.000550048,0.01854,0.32145,0.98551,26.3
25,0.000516707,0.03828,0.25725,0.98551,25.5
26,0.000483293,0.00712,0.27162,0.98406,26.7
27,0.000449952,0.02147,0.27578,0.98406,28.5
28,0.000416835,0.00864,0.21488,0.98116,26.0
29,0.00038409,0.00430,0.21198,0.97681,27.3
30,0.000351862,0.00341,0.21062,0.97971,26.3
31,0.000320296,0.00436,0.21425,0.98261,26.9
