epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.57778,0.67553,0.76738,27.7
1,0.0006875,0.32263,0.98110,0.96170,26.2
2,0.001,0.27096,2.18542,0.96879,23.8
3,0.000998883,0.31966,1.64668,0.94184,24.8
4,0.000995539,0.23761,2.57479,0.94184,23.7
5,0.000989981,0.13662,2.04310,0.97872,23.6
6,0.000982235,0.15449,0.40419,0.97730,25.2
7,0.000972335,0.11249,0.65149,0.96738,25.5
8,0.000960325,0.10680,0.63611,0.98014,23.8
9,0.000946259,0.07695,1.61788,0.93050,23.6
10,0.000930201,0.04495,1.02069,0.99149,26.0
11,0.000912221,0.05851,1.12595,0.99716,24.9
12,0.0008924,0.06003,1.08387,0.96170,23.8
13,0.000870826,0.07414,1.49828,0.99007,23.3
14,0.000847596,0.05487,0.24673,0.99574,24.2
15,0.000822814,0.12275,0.06426,1.00000,24.3
16,0.00079659,0.08409,0.05004,1.00000,25.0
17,0.000769041,0.04819,0.02773,1.00000,24.6
18,0.000740291,0.03950,0.00482,1.00000,24.3
19,0.000710467,0.01735,0.00507,1.00000,24.3
20,0.000679704,0.00591,0.01974,1.00000,24.1
21,0.000648138,0.01355,0.06305,1.00000,24.6
22,0.00061591,0.00431,0.01497,1.00000,23.8
23,0.000583165,0.02350,0.02544,1.00000,24.2
24,0.000550048,0.03979,0.02770,1.00000,26.3
25,0.000516707,0.05522,0.07069,0.99716,25.7
26,0.000483293,0.03431,0.10856,1.00000,23.6
27,0.000449952,0.00700,0.01254,1.00000,23.1
28,0.000416835,0.01158,0.00496,1.00000,32.0
29,0.00038409,0.00562,0.00237,1.00000,31.5
30,0.000351862,0.00832,0.00296,1.00000,28.8
