epoch,lr,train_loss,val_loss,val_auroc,sec
0,0.000354167,0.58418,0.63126,0.80435,26.1
1,0.0006875,0.40885,1.04352,0.89130,26.2
2,0.001,0.30863,0.39127,0.91449,25.1
3,0.000998883,0.19859,0.57478,0.89710,25.8
4,0.000995539,0.20104,0.26062,0.96377,25.5
5,0.000989981,0.11507,0.52874,0.94928,23.9
6,0.000982235,0.12177,0.91265,0.96232,28.6
7,0.000972335,0.14882,1.05550,0.94203,26.7
8,0.000960325,0.08321,1.33035,0.94058,25.4
9,0.000946259,0.06374,0.55049,0.92609,28.1
10,0.000930201,0.06499,0.24282,0.96522,29.4
11,0.000912221,0.06760,0.29842,0.98261,24.7
12,0.0008924,0.12100,0.24665,0.95507,24.9
13,0.000870826,0.05565,0.27459,0.98696,26.4
14,0.000847596,0.04402,0.23914,0.99275,22.7
15,0.000822814,0.07698,0.63444,0.99565,24.5
16,0.00079659,0.04549,0.65967,0.99855,26.9
17,0.000769041,0.11804,0.33907,0.99420,25.5
18,0.000740291,0.05830,0.10743,0.99565,24.9
19,0.000710467,0.03218,0.27486,0.96812,25.7
20,0.000679704,0.01486,0.35886,0.96232,25.4
21,0.000648138,0.02394,0.34857,0.94928,23.2
22,0.00061591,0.00460,0.29309,0.96522,25.8
23,0.000583165,0.00494,0.31265,0.96812,25.5
24,0.000550048,0.00412,0.36874,0.97101,26.9
25,0.000516707,0.00194,0.39720,0.97246,24.8
26,0.000483293,0.00986,0.46352,0.98841,24.6
27,0.000449952,0.00384,0.50992,0.99420,24.6
28,0.000416835,0.00449,0.38724,0.99565,26.4
29,0.00038409,0.01181,0.29836,0.98696,27.1
30,0.000351862,0.00990,0.35666,0.99130,26.2
31,0.000320296,0.00137,0.36726,0.99130,25.7
